"Work Item Type","Title 1","Title 2","Description","Acceptance Criteria","Priority","Story Points","Tags"
"User Story","","WI-10 Implementar webhook de entrada UAZAPI","<p><b>WI-10</b> · Dependências: WI-07, WI-08</p><h3>Contexto</h3><p>O webhook atual (/api/whatsapp/webhook) é específico da Meta. A UAZAPI envia outro formato. Toda a lógica pós-parsing (contacto, conversa, idempotência, flows, automações, IA, webhooks públicos) deve ser reutilizada.</p><h3>O que fazer</h3><ul><li>Criar rota /api/whatsapp/webhook/uazapi/[connectionId] com validação por token/segredo.</li><li>Parser UAZAPI → InboundMessage comum (texto, media, respostas a botões/listas, reações, estados).</li><li>Extrair processMessage do route.ts da Meta para um módulo partilhado.</li><li>Download e espelhamento de media para o bucket chat-media.</li><li>Tratar eventos de desconexão (atualizar status da ligação e notificar admins).</li></ul>","<ul><li>Mensagem recebida num número UAZAPI aparece no Inbox e dispara flows/automações.</li><li>Reentregas do mesmo evento não duplicam mensagens.</li><li>Desconexão da instância muda o estado da ligação para disconnected.</li></ul>","1","5","leona-parity; whatsapp; uazapi; backend"
"User Story","","WI-11 UI de gestão de ligações (QR code, estado, seleção de número)","<p><b>WI-11</b> · Dependências: WI-07, WI-09</p><h3>Contexto</h3><p>Settings → WhatsApp (components/settings/whatsapp-config.tsx) é hoje um formulário único para Meta.</p><h3>O que fazer</h3><ul><li>Lista de ligações com nome, número, provedor, estado e ações (ligar, desligar, remover).</li><li>Assistente ""Nova ligação"": escolher Meta (formulário atual) ou UAZAPI (mostrar QR code/pairing code com polling de estado).</li><li>Filtro por ligação no Inbox e indicador do número em cada conversa.</li><li>Seleção de ligação em broadcasts e no gatilho dos flows (""aplica-se às ligações X, Y"").</li><li>Traduções em messages/pt.json.</li></ul>","<ul><li>Admin liga um número UAZAPI lendo o QR code sem sair do CRM.</li><li>Inbox filtra conversas por número.</li><li>Um flow pode ser restrito a ligações específicas.</li></ul>","2","5","leona-parity; whatsapp; frontend"
"Epic","EP-02 Flow builder: blocos essenciais (paridade Leona)","","<p>Trazer para o construtor de flows os blocos mais usados no Leona. Hoje existem: start, send_message, send_buttons, send_list, send_media, collect_input, condition, set_tag, handoff, end.</p>","","2","","leona-parity"
"User Story","","WI-12 Bloco Intervalo inteligente (espera por tempo ou até data)","<p><b>WI-12</b> · Dependências: WI-01</p><h3>Contexto</h3><p>As automações têm step wait, mas os flows não. Leona: smart_interval com schedule_type time|date.</p><h3>O que fazer</h3><ul><li>Novo node_type smart_interval em flows/types.ts: { mode: ""duration""|""datetime"", amount, unit, datetime, timezone, next_node_key }.</li><li>Adicionar coluna resume_at em flow_runs (migração) e estado ""waiting"".</li><li>Cron /api/flows/cron retoma runs com resume_at <= now().</li><li>Não aplicar timeout de abandono enquanto o run espera.</li><li>Formulário no builder, validação em flows/validate.ts e testes no engine.</li></ul>","<ul><li>Flow com espera de 2 minutos envia a mensagem seguinte após ~2 min (margem do cron).</li><li>Espera até data/hora respeita o fuso Africa/Luanda.</li><li>Mensagem do cliente durante a espera não quebra o run.</li></ul>","1","5","leona-parity; flows; backend; frontend"
"User Story","","WI-13 Bloco Aguardar resposta com timeout, validação e gravação em campo","<p><b>WI-13</b> · Dependências: WI-12</p><h3>Contexto</h3><p>collect_input guarda em flow_runs.vars, não tem timeout e ignora o campo validation (types.ts: ""Reserved for v2"").</p><h3>O que fazer</h3><ul><li>Implementar validação: any, email, phone, number, regex, com mensagem de erro e nº máximo de tentativas.</li><li>Timeout opcional (ou indefinido) com ramo de saída ""sem resposta"" (reutiliza resume_at do WI-12).</li><li>Opção de gravar a resposta num campo personalizado do contacto além de vars.</li><li>Ramos de saída: resposta válida, inválida (após tentativas), timeout.</li><li>Atualizar builder (novos handles), validador e testes.</li></ul>","<ul><li>Email inválido gera mensagem de erro e nova tentativa.</li><li>Sem resposta no tempo definido segue o ramo timeout.</li><li>Valor fica visível no campo personalizado do contacto.</li></ul>","1","5","leona-parity; flows; backend; frontend"
"User Story","","WI-14 Menu 2.0: ramos ""outra resposta"" e ""timeout"" e modo texto","<p><b>WI-14</b> · Dependências: WI-12</p><h3>Contexto</h3><p>send_buttons/send_list dependem dos limites da Meta (3 botões, 10 linhas) e o fallback é global (fallback_policy). Leona: interactive_menu com saídas menu_option, menu_other e menu_timeout.</p><h3>O que fazer</h3><ul><li>Novo node_type interactive_menu com opções ilimitadas: renderiza botões (≤3), lista (≤10) ou texto numerado (>10 ou provedor sem suporte).</li><li>Aceitar resposta por toque, número (""1"") ou texto igual ao título.</li><li>Saídas: uma por opção + ""outra resposta"" + ""timeout"".</li><li>Opção de gravar a escolha em campo personalizado.</li><li>Manter send_buttons/send_list por compatibilidade.</li></ul>","<ul><li>Menu com 12 opções é enviado como texto numerado e responder ""12"" segue o ramo certo.</li><li>Resposta fora das opções segue o ramo ""outra resposta"" em vez do fallback global.</li></ul>","2","5","leona-parity; flows; backend; frontend"
"User Story","","WI-15 Bloco Mensagem completo (várias mensagens, áudio, contacto, atrasos)","<p><b>WI-15</b> · Dependências: WI-08</p><h3>Contexto</h3><p>Hoje um nó envia uma única mensagem (send_message ou send_media image/video/document). Leona permite num bloco uma sequência: texto, media, áudio, contacto, ficheiro, sticker e atrasos entre elas.</p><h3>O que fazer</h3><ul><li>Novo node_type message com actions[]: text, image, video, document, audio (gravado/PTT), contact (vCard), sticker, delay (segundos).</li><li>Indicador ""a escrever…/a gravar…"" durante atrasos quando o provedor suportar.</li><li>Interpolação de variáveis ({{contact.name}}, {{vars.x}}, campos personalizados) em todos os textos.</li><li>Upload de áudio para flow-media (reutilizar opus-recorder).</li><li>Execução sequencial com delays curtos inline e longos via resume_at.</li></ul>","<ul><li>Um bloco envia texto → atraso 3s → áudio → imagem, pela ordem certa.</li><li>Variáveis são substituídas e variáveis vazias não deixam ""{{...}}"" visível.</li></ul>","2","5","leona-parity; flows; backend; frontend"
"User Story","","WI-16 Condição com múltiplas regras (E/OU, horário, campos, atendente)","<p><b>WI-16</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>ConditionNodeConfig avalia um único predicado (var|tag|contact_field; equals|contains|present|absent).</p><h3>O que fazer</h3><ul><li>Config com grupos de regras e operador AND/OR.</li><li>Novos sujeitos: campo personalizado, horário/dia da semana (com fuso), estado da conversa, atendente atribuído, variável global da conta.</li><li>Novos operadores: not_equals, greater_than, less_than, starts_with, in_list.</li><li>Migração automática das condições atuais para o novo formato.</li><li>Criar tabela de variáveis globais por conta (account_variables) e UI simples em Settings.</li></ul>","<ul><li>Condição ""horário entre 08:00 e 18:00 E dia útil"" encaminha corretamente.</li><li>Flows antigos com condição simples continuam a funcionar.</li></ul>","2","5","leona-parity; flows; backend; frontend"
"User Story","","WI-17 Bloco Ligação entre flows (executar outro flow)","<p><b>WI-17</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>Leona: connection_flow termina o flow atual e inicia outro flow ativo da mesma conta.</p><h3>O que fazer</h3><ul><li>Novo node_type execute_flow { flow_id, carry_vars: boolean }.</li><li>Terminar run atual com end_reason ""chained"" e criar novo run no nó de entrada do flow destino.</li><li>Proteção contra ciclos (máx. N encadeamentos por contacto num intervalo).</li><li>Seletor de flows ativos no builder; validar que o destino existe e está ativo.</li></ul>","<ul><li>Flow A encaminha para Flow B e o histórico mostra os dois runs ligados.</li><li>Ciclo A→B→A é interrompido e registado como falha.</li></ul>","3","3","leona-parity; flows; backend"
"User Story","","WI-18 Bloco Integração HTTP com mapeamento de resposta","<p><b>WI-18</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>As automações têm send_webhook (só saída). Leona: make_http_request com mapeamento da resposta para campos do contacto e ramos sucesso/falha.</p><h3>O que fazer</h3><ul><li>Novo node_type http_request { method, url, headers, query, body, timeout_ms, response_mapping[], next_success, next_failure }.</li><li>Interpolação de variáveis em URL, headers e body.</li><li>Mapeamento JSONPath simples (data.cliente.nome) → vars ou campo personalizado.</li><li>Proteção SSRF: bloquear IPs privados/localhost, limitar tamanho da resposta.</li><li>Botão ""Testar pedido"" no builder e registo do pedido/resposta em flow_run_events (sem segredos).</li></ul>","<ul><li>Pedido GET a uma API pública grava um campo e segue o ramo sucesso.</li><li>Erro 4xx/5xx ou timeout segue o ramo falha.</li><li>URL http://127.0.0.1 é rejeitada.</li></ul>","2","5","leona-parity; flows; backend; frontend; integracao"
"User Story","","WI-19 Bloco IA no flow (prompt + gravação em variável)","<p><b>WI-19</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>A IA já existe como resposta automática global (src/lib/ai: providers OpenAI/Anthropic, chave por conta, base de conhecimento, usage). Falta usá-la como passo dentro de um flow.</p><h3>O que fazer</h3><ul><li>Novo node_type ai { system_prompt, user_message (com variáveis), use_knowledge_base, model, save_to_var, send_to_customer: boolean, next_node_key }.</li><li>Reutilizar lib/ai/generate.ts, context.ts e registo de usage.</li><li>Opção de classificar a intenção e ramificar (saídas por categoria).</li><li>Timeout e ramo de falha quando o provedor falhar ou a conta não tiver chave.</li></ul>","<ul><li>Bloco IA responde ao cliente com base na base de conhecimento.</li><li>Modo classificação encaminha ""quero comprar"" para o ramo ""vendas"".</li><li>Consumo aparece em Settings → AI → Usage.</li></ul>","2","5","leona-parity; flows; ia; backend"
"User Story","","WI-20 Bloco Template (HSM) no flow com roteamento por quick reply","<p><b>WI-20</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>send_template existe nas automações e o webhook já trata cliques em quick reply (case ""button""). Necessário para iniciar conversas fora da janela de 24h (só Meta).</p><h3>O que fazer</h3><ul><li>Novo node_type send_template { template_id, variables, buttons[] com next_node_key }.</li><li>Reutilizar template-send-builder.ts.</li><li>Esconder/avisar quando a ligação não é Meta.</li></ul>","<ul><li>Template aprovado é enviado com variáveis preenchidas e o clique no botão avança o flow.</li></ul>","3","3","leona-parity; flows; meta; backend"
"Epic","EP-03 CRM e operação de atendimento","","<p>Blocos e recursos de organização da equipa e do funil que o Leona tem e o CRM ainda não.</p>","","2","","leona-parity"
"User Story","","WI-21 Departamentos e atribuição de conversas por departamento","<p><b>WI-21</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>Não existe conceito de departamento. Leona: set_department no flow.</p><h3>O que fazer</h3><ul><li>Migração: departments (id, account_id, name) e department_members; coluna department_id em conversations.</li><li>CRUD em Settings → Departamentos com membros.</li><li>Filtro por departamento no Inbox; membros veem as conversas do seu departamento.</li><li>Node_type set_department no flow e step equivalente nas automações.</li></ul>","<ul><li>Flow atribui a conversa ao departamento ""Vendas"" e só os membros desse departamento a veem no filtro.</li></ul>","2","5","leona-parity; crm; backend; frontend"
"User Story","","WI-22 Bloco Distribuidor (round-robin entre saídas)","<p><b>WI-22</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>assign_conversation das automações tem round_robin de atendentes. Leona: distributor divide contactos por N saídas (ex.: teste A/B ou distribuir entre vendedores).</p><h3>O que fazer</h3><ul><li>Novo node_type distributor { outputs: [{ id, label, weight }] }.</li><li>Contador atómico por nó (RPC no Postgres) para evitar corridas.</li><li>Estatística de quantos contactos passaram por cada saída.</li></ul>","<ul><li>Com 3 saídas de peso igual, 30 contactos são distribuídos 10/10/10.</li></ul>","3","3","leona-parity; flows; backend"
"User Story","","WI-23 Bloco Kanban/Pipeline no flow (criar, mover, remover card)","<p><b>WI-23</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>Pipelines e deals existem (/pipelines) e as automações têm create_deal. Faltam as ações no flow e mover/remover.</p><h3>O que fazer</h3><ul><li>Node_type pipeline_card { action: create|move|remove, pipeline_id, stage_id, title_template, value }.</li><li>Se o contacto já tem deal aberto no pipeline, ""create"" move-o em vez de duplicar.</li><li>Seletores de pipeline/etapa no builder.</li></ul>","<ul><li>Flow move o deal do contacto para ""Proposta enviada"" e o card aparece na coluna certa.</li></ul>","2","3","leona-parity; flows; crm; backend"
"User Story","","WI-24 Bloco Manipulador de campos personalizados (com operações)","<p><b>WI-24</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>Campos personalizados existem (Settings → Fields). Automações têm update_contact_field. Leona permite operações matemáticas e alterar a data de criação.</p><h3>O que fazer</h3><ul><li>Node_type set_field { field_id, operation: set|add|subtract|multiply|clear, value (com variáveis) }.</li><li>Validação de tipo (número, texto, data).</li></ul>","<ul><li>Campo ""pontos"" soma +10 a cada passagem pelo bloco.</li></ul>","3","3","leona-parity; flows; crm; backend"
"User Story","","WI-25 Bloco Controlador de estado da conversa","<p><b>WI-25</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>ConversationStatus é open | pending | closed. handoff e close_conversation (automação) cobrem parte. Leona: change_chat_status (Em espera, Em atendimento, Resolvido).</p><h3>O que fazer</h3><ul><li>Node_type set_conversation_status { status }.</li><li>Mapear nomes da UI em português para os estados existentes.</li></ul>","<ul><li>Flow marca a conversa como resolvida e ela sai da lista de abertas.</li></ul>","3","2","leona-parity; flows; crm"
"User Story","","WI-26 Bloco Notificação para a equipa (WhatsApp para número externo)","<p><b>WI-26</b> · Dependências: WI-08</p><h3>Contexto</h3><p>Existe notificação interna (/notifications), mas não alerta por WhatsApp. Leona: send_notification para um número da equipa (ex.: ""novo lead quente"").</p><h3>O que fazer</h3><ul><li>Node_type notify_team { phone_numbers[], message (com variáveis), connection_id }.</li><li>Não criar contacto/conversa para o número de destino.</li><li>Na Meta, alertar que fora da janela 24h exige template.</li><li>Opção de também criar notificação interna.</li></ul>","<ul><li>Quando o flow chega ao bloco, o gestor recebe no WhatsApp ""Novo lead: {{contact.name}} – {{contact.phone}}"".</li></ul>","2","3","leona-parity; flows; whatsapp; backend"
"Epic","EP-04 Vendas, marketing e integrações avançadas","","<p>Registo de vendas, rastreamento de conversões e blocos de maior complexidade.</p>","","3","","leona-parity"
"User Story","","WI-27 Produtos e registo de vendas aprovadas","<p><b>WI-27</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>Não existe catálogo nem histórico de vendas. Leona: products, approved_sale no flow, sales history com editar/apagar.</p><h3>O que fazer</h3><ul><li>Migração: products (nome, preço, moeda – default da conta) e sales (contact_id, product_id, amount, currency, source, flow_run_id, created_at).</li><li>CRUD de produtos e página de histórico de vendas com filtros e exportação CSV.</li><li>Node_type register_sale { product_id, amount_template }.</li><li>KPIs no dashboard: receita, nº de vendas, ticket médio.</li><li>Evento de webhook público sale.created.</li></ul>","<ul><li>Flow regista venda e ela aparece no histórico e no dashboard do dia.</li><li>Admin edita e apaga uma venda com confirmação.</li></ul>","2","8","leona-parity; vendas; backend; frontend"
"User Story","","WI-28 Pixel Meta (Conversions API): eventos Lead e Purchase","<p><b>WI-28</b> · Dependências: WI-27</p><h3>Contexto</h3><p>Leona: send_pixel_event com PixelConfig por conta. Útil para otimizar anúncios Click-to-WhatsApp.</p><h3>O que fazer</h3><ul><li>Tabela pixel_configs (pixel_id, access_token encriptado, test_event_code).</li><li>Node_type send_pixel_event { pixel_config_id, event: Lead|Purchase, value, currency }.</li><li>Enviar telefone/email com hash SHA-256 conforme a Meta; guardar ctwa_clid quando disponível.</li><li>Registo de envio e erro.</li></ul>","<ul><li>Evento aparece no Events Manager (Test Events) com correspondência de telefone.</li></ul>","3","5","leona-parity; marketing; meta; integracao"
"User Story","","WI-29 Bloco Carrossel","<p><b>WI-29</b> · Dependências: WI-08</p><h3>Contexto</h3><p>Leona: send_carousel (UAZAPI / Meta Cloud via template de carrossel).</p><h3>O que fazer</h3><ul><li>Node_type carousel { intro_text, cards[]: { image_url, title, body, buttons[] } }.</li><li>Implementar nos provedores que suportam; fallback para sequência de imagens com legenda.</li></ul>","<ul><li>Carrossel com 3 cards é recebido e o clique num botão avança o flow.</li></ul>","4","5","leona-parity; flows; whatsapp"
"User Story","","WI-30 Spike: pagamentos para Angola (substituto do PIX/XPag)","<p><b>WI-30</b> · Dependências: WI-27</p><h3>Contexto</h3><p>PIX e XPag do Leona servem Brasil/América Latina. Para +244 avaliar gateways locais (ex.: Multicaixa Express, referências de pagamento, EMIS/ProxyPay) e confirmação por webhook.</p><h3>O que fazer</h3><ul><li>Levantar gateways com API, custos, KYC e suporte a webhook de confirmação.</li><li>Propor node_type create_payment com ramos ""cobrança criada"" e ""pagamento aprovado"".</li><li>Estimar implementação.</li></ul>","<ul><li>Documento com recomendação de gateway e estimativa aprovado pelo negócio.</li></ul>","3","3","leona-parity; vendas; pagamentos; spike; spike"
"User Story","","WI-31 Spike: geração de media com IA (equivalente Kie.ai)","<p><b>WI-31</b> · Dependências: WI-19</p><h3>Contexto</h3><p>Leona: kieai_generate (áudio, imagem, música, vídeo). Baixa prioridade.</p><h3>O que fazer</h3><ul><li>Avaliar custo/benefício e provedores.</li><li>Decidir se entra no roadmap.</li></ul>","<ul><li>Decisão registada (fazer / não fazer) com justificação.</li></ul>","4","2","leona-parity; ia; spike; spike"
